path,sha256,kind,api_version,namespace,name,parse_status,parse_error,spec_keys,test_nodes,risk_flags,shape_issues,placeholder_count
raw_yaml\BlockChaos\d01fea1c3fcf9badfee32724.yaml,0c0f2519bafe2e127275336cbf853a56c65900faffa32a619e02c605aa2fcfe4,BlockChaos,chaos-mesh.org/v1alpha1,oscp-prod,oscp-aws-block,valid_map,,"[""action"", ""duration"", ""fillPercent"", ""ioPercent"", ""mode"", ""selector"", ""target""]","[""blockchaos"", ""selector""]",[],"[""spec_target_not_string""]",0
raw_yaml\DNSChaos\04835a78eab4e0614bdcef30.yaml,2a79c5defbab1e0398f4e60ef88a75538ff55d4ad8a3b6d344d5d5e5ef7b441d,DNSChaos,chaos-mesh.org/v1alpha1,chaos-testing,block-amazon,valid_map,,"[""action"", ""duration"", ""mode"", ""patterns"", ""selector""]","[""dns_error"", ""selector""]","[""namespace_or_selector_blast_radius""]",[],0
raw_yaml\DNSChaos\0616ac9268c83a1a9cca436b.yaml,a5b6e533a917782a5db1f15ccc161708c0f587cb995eff20a268776b663a95e8,DNSChaos,chaos-mesh.org/v1alpha1,chaos-testing,dns-chaos-example,valid_map,,"[""action"", ""duration"", ""mode"", ""patterns"", ""scheduler"", ""selector""]","[""dns_random"", ""selector""]","[""namespace_or_selector_blast_radius"", ""temporal_or_composite""]",[],0
raw_yaml\DNSChaos\0e1d62cbf91f38627c4c9e50.yaml,32796773ffcf16df01c4bd6103494f6702c9179503c2625e30a19b3252bdfc18,DNSChaos,chaos-mesh.org/v1alpha1,default,dns-random-demo,valid_map,,"[""action"", ""duration"", ""mode"", ""patterns"", ""selector""]","[""dns_random"", ""selector""]","[""namespace_or_selector_blast_radius""]",[],0
raw_yaml\DNSChaos\10277b7243d5976361f9ac75.yaml,4424a11cb1e4c635533f6c751e6a68c851612bd81c6c24423139294bce839c58,DNSChaos,chaos-mesh.org/v1alpha1,dev,openai-dns-failure,valid_map,,"[""action"", ""duration"", ""mode"", ""patterns"", ""selector""]","[""dns_error"", ""selector""]","[""namespace_or_selector_blast_radius""]",[],0
raw_yaml\DNSChaos\1164bb55fb4e66b1569c1fbf.yaml,9c80f562068c0dd674a78f03a416c7e923ad117d8d63edbae593d0500d8086e9,DNSChaos,chaos-mesh.org/v1alpha1,query-engines,dns-failure,valid_map,,"[""action"", ""duration"", ""mode"", ""patterns"", ""scheduler"", ""selector""]","[""dns_error"", ""selector""]","[""temporal_or_composite""]",[],0
raw_yaml\DNSChaos\146e8a71602c238b5533be88.yaml,4f16a9cb64dd3733deb81469149455291129b01455b6adfee5a3f07e59ff20f2,DNSChaos,chaos-mesh.org/v1alpha1,chaos-testing,dns-error-inter-service,valid_map,,"[""action"", ""duration"", ""mode"", ""patterns"", ""selector""]","[""dns_error"", ""selector""]","[""namespace_or_selector_blast_radius""]",[],0
raw_yaml\DNSChaos\15e3d5276503232b259ea7f5.yaml,72750801616cbb7cadbd0098d110a5a9b4c17feb8a603db58ae1d4b5da9acf25,DNSChaos,chaos-mesh.org/v1alpha1,microshop,exp-004-dns-failure,valid_map,,"[""action"", ""duration"", ""mode"", ""patterns"", ""selector""]","[""dns_error"", ""selector""]","[""namespace_or_selector_blast_radius""]",[],0
raw_yaml\DNSChaos\163c169ab2a140768b97bdfa.yaml,0c23dd231de1183cb74f2ef310252883ff6050ab5129d678be1f489f5603d18c,DNSChaos,chaos-mesh.org/v1alpha1,ipf,crawler-dns-failure,valid_map,,"[""action"", ""duration"", ""mode"", ""patterns"", ""selector""]","[""dns_error"", ""selector""]","[""namespace_or_selector_blast_radius""]",[],0
raw_yaml\DNSChaos\17ea8730886bd4e8e50e92c7.yaml,45d28f6696b82a28439fadd459ead90a452795bb4cce0881dec12a79eb89133c,DNSChaos,chaos-mesh.org/v1alpha1,chaos-testing,dns-block-cartservice,valid_map,,"[""action"", ""duration"", ""mode"", ""patterns"", ""selector""]","[""dns_error"", ""selector""]","[""namespace_or_selector_blast_radius""]",[],0
raw_yaml\DNSChaos\1ab1a3890376fe069262a5b0.yaml,da3ec66bf9a61ceeed172c96e1e7767d8a75e5a5f13e44b514d7bc0869f275c9,DNSChaos,chaos-mesh.org/v1alpha1,chaos-mesh,mssql-dns-error-long,valid_map,,"[""action"", ""duration"", ""mode"", ""selector""]","[""dns_error"", ""selector""]","[""cloud_instance""]",[],0
raw_yaml\DNSChaos\1be12f7879bf9ffbdd5b271a.yaml,c42cbbcc519a27b50458972b02fa51008674288cd2a92aba222aa31f6613d614,DNSChaos,chaos-mesh.org/v1alpha1,his-hope,dns-random,valid_map,,"[""action"", ""duration"", ""mode"", ""patterns"", ""scheduler"", ""selector""]","[""dns_random"", ""selector""]","[""machine_address"", ""namespace_or_selector_blast_radius"", ""temporal_or_composite""]",[],0
raw_yaml\DNSChaos\1cc81f758ea855783b38597b.yaml,56f81087c83fe6864568984676235a24a8e13526cfbb891b2c5b5223d45d2200,DNSChaos,chaos-mesh.org/v1alpha1,chaos-mesh,kubernetes-dns-chaos,valid_map,,"[""action"", ""duration"", ""mode"", ""patterns"", ""scheduler"", ""selector"", ""value""]","[""dns_error"", ""selector""]","[""temporal_or_composite""]",[],0
raw_yaml\DNSChaos\1da417392ee95d7bd7c0c702.yaml,3d2a077c892fbc703b9e95cb4288f8048c20bfb9938ff7c2a5ddfbacd2268b5f,DNSChaos,chaos-mesh.org/v1alpha1,,dns-chaos-error,valid_map,,"[""action"", ""duration"", ""mode"", ""patterns"", ""selector""]","[""dns_random"", ""selector""]","[""namespace_or_selector_blast_radius""]",[],0
raw_yaml\DNSChaos\21dc9aa175d48594f5837e8d.yaml,c6429b3f05233a529a8bcaa153bb177dea59082aff226f3adf2bff3abacf874a,DNSChaos,chaos-mesh.org/v1alpha1,kafka-producer,kafka-app-dns-error,valid_map,,"[""action"", ""duration"", ""mode"", ""patterns"", ""selector""]","[""dns_error"", ""selector""]","[""namespace_or_selector_blast_radius""]",[],0
raw_yaml\DNSChaos\23e57f879e28a946e2f3bda3.yaml,a34536c500f8e0fc7af29827cc3f07fe860eea8b06bedecdae2feaa05c58b8e8,DNSChaos,chaos-mesh.org/v1alpha1,chaos-engineering,openstack-dns-chaos,valid_map,,"[""action"", ""duration"", ""mode"", ""patterns"", ""scheduler"", ""selector""]","[""dns_random"", ""selector""]","[""namespace_or_selector_blast_radius"", ""temporal_or_composite""]",[],0
raw_yaml\DNSChaos\244775bb723cd63b51d831b4.yaml,321160f1fa7154d2b4ba01bf0e02e4add4f92af999dff6e39d7543d46a820dfb,DNSChaos,chaos-mesh.org/v1alpha1,his-hope,dns-error,valid_map,,"[""action"", ""duration"", ""mode"", ""patterns"", ""scheduler"", ""selector""]","[""dns_error"", ""selector""]","[""namespace_or_selector_blast_radius"", ""temporal_or_composite""]",[],0
raw_yaml\DNSChaos\24b262e44957b78547ddbaab.yaml,ac6449e784ca4801bfe4ef554b97e793e7a7b55d7d82a0ba79c844243ea6ff18,DNSChaos,chaos-mesh.org/v1alpha1,chaos-engineering,dns-resolution-failure,valid_map,,"[""action"", ""duration"", ""mode"", ""patterns"", ""scheduler"", ""selector""]","[""dns_error"", ""selector""]","[""temporal_or_composite""]",[],0
raw_yaml\DNSChaos\25779b761656735b65acdab1.yaml,927ba623aa626fad7ab9c346f06015b65d4495af5a60e2aad6715c06c71196c8,DNSChaos,chaos-mesh.org/v1alpha1,backend,dns-timeout-sim,valid_map,,"[""action"", ""duration"", ""mode"", ""patterns"", ""selector"", ""value""]","[""dns_random"", ""selector""]",[],[],0
raw_yaml\DNSChaos\342f0718fbb31f2cb6c4ea50.yaml,6f0299d1ac09f1368a27eacf018afa65c05a7dffba31ddbaf91ec95c8fbd6352,DNSChaos,chaos-mesh.org/v1alpha1,,dns-chaos-example,valid_map,,"[""action"", ""duration"", ""mode"", ""patterns"", ""selector""]","[""dns_random"", ""selector""]","[""namespace_or_selector_blast_radius""]",[],0
raw_yaml\DNSChaos\3666a8acc2763cd671d213a8.yaml,419673be1123e8e55029c82f62b6d3c7fe945c9e40cd93075f0483051fd198e5,DNSChaos,chaos-mesh.org/v1alpha1,chaos-mesh,vernemq-dns-chaos,valid_map,,"[""action"", ""duration"", ""mode"", ""patterns"", ""scheduler"", ""selector"", ""value""]","[""dns_error"", ""selector""]","[""temporal_or_composite""]",[],0
raw_yaml\DNSChaos\3c1ffa56c9c2949627bbf195.yaml,144d2d01500d29ca5a58dc91f0f9eb0f693f72033a096d2c9282e2c710da53ca,DNSChaos,chaos-mesh.org/v1alpha1,staging,dns-error-chaos,valid_map,,"[""action"", ""duration"", ""mode"", ""patterns"", ""selector""]","[""dns_error"", ""selector""]","[""namespace_or_selector_blast_radius""]",[],0
raw_yaml\DNSChaos\415af77e6fde31950907ea64.yaml,b538a6d4eb0644ab83610d741f359bf49613ac7d3a25e120a2fcf49d08ed7779,DNSChaos,chaos-mesh.org/v1alpha1,chaos-testing,external-api-dns-error,valid_map,,"[""action"", ""duration"", ""mode"", ""patterns"", ""scheduler"", ""selector""]","[""dns_error"", ""selector""]","[""namespace_or_selector_blast_radius"", ""temporal_or_composite""]",[],0
raw_yaml\DNSChaos\4281dbef12887d0aefad9d6d.yaml,b9aab2300db853b8d5916184f17e6a2fcd8104db894886be99ba50c2fcb4c440,DNSChaos,chaos-mesh.org/v1alpha1,chrono-synth,llm-upstream-dns-failure,valid_map,,"[""action"", ""duration"", ""mode"", ""patterns"", ""selector""]","[""dns_error"", ""selector""]","[""namespace_or_selector_blast_radius""]",[],0
raw_yaml\DNSChaos\4533ae6fe6f7845215d66b34.yaml,c1bb72ffbf582cb343c8a56945f702abff4c2feb873ee0fc49265047a51c8e0f,DNSChaos,chaos-mesh.org/v1alpha1,chaos-experiments,template-external-failure,valid_map,,"[""action"", ""mode"", ""patterns"", ""selector""]","[""dns_error"", ""selector""]","[""namespace_or_selector_blast_radius""]",[],0
