experiment,mutation,repeats,median_latencies_ms,mean_median_ms,ci95_lower_ms,ci95_upper_ms,baseline_ms,delta_ms,classifications,all_http_200,all_cleanup_confirmed
Station NetworkChaos delay 100ms,station-100ms,3,227.876|216.156|228.588,224.21,206.86,241.55,30.146,194.06,response_observed,True,True
Station NetworkChaos delay 500ms,station-500ms,3,1019.527|1023.338|1021.61,1021.49,1016.75,1026.23,30.146,991.35,response_observed,True,True
Basic StressChaos CPU r1 (1w/80%/45s),basic-cpu-r1,3,49.791|40.953|63.567,51.44,23.12,79.75,27.378,24.06,response_observed,True,True
